Area Year,Area,Year,Cases,Rate
Hockley2016,Hockley,2016,22,95.5
Hood2018,Hood,2018,40,66.1
Hood2015,Hood,2015,33,59.7
Hood2016,Hood,2016,30,52.9
Hood2017,Hood,2017,26,44.7
Hood2014,Hood,2014,19,35.3
Hopkins2015,Hopkins,2015,51,141.7
Hopkins2016,Hopkins,2016,43,118.7
Hopkins2017,Hopkins,2017,37,101.4
Hopkins2014,Hopkins,2014,31,86.8
Hopkins2018,Hopkins,2018,29,78.8
Houston2017,Houston,2017,38,164.4
Houston2018,Houston,2018,30,129.5
Houston2016,Houston,2016,25,109.1
Houston2015,Houston,2015,15,65.9
Houston2014,Houston,2014,13,57
Howard2016,Howard,2016,82,222.9
Howard2017,Howard,2017,56,154.7
Howard2015,Howard,2015,55,147.5
Howard2018,Howard,2018,50,137.1
Howard2014,Howard,2014,42,114.7
Hudspeth2018,Hudspeth,2018,0,0
Hudspeth2015,Hudspeth,2015,0,0
Hudspeth2017,Hudspeth,2017,,
Hudspeth2016,Hudspeth,2016,,
Hudspeth2014,Hudspeth,2014,,
Hunt2017,Hunt,2017,161,171.4
Hunt2016,Hunt,2016,130,141.4
Hunt2015,Hunt,2015,127,141.6
Hunt2018,Hunt,2018,116,120.2
Hunt2014,Hunt,2014,107,120.7
Hutchinson2017,Hutchinson,2017,42,196.6
Hutchinson2014,Hutchinson,2014,40,182.5
Hutchinson2018,Hutchinson,2018,26,122.7
Hutchinson2016,Hutchinson,2016,25,115.9
Hutchinson2015,Hutchinson,2015,25,114.6
Irion2015,Irion,2015,0,0
Irion2014,Irion,2014,0,0
Irion2018,Irion,2018,,
Irion2017,Irion,2017,,
Irion2016,Irion,2016,,
Jack2018,Jack,2018,10,113.1
Jack2017,Jack,2017,10,113.4
Jack2016,Jack,2016,5,57
Jack2015,Jack,2015,,
Jack2014,Jack,2014,,
Jackson2018,Jackson,2018,15,100.8
Jackson2014,Jackson,2014,10,67.9
Jackson2015,Jackson,2015,8,54
Jackson2016,Jackson,2016,7,47.1
Jackson2017,Jackson,2017,6,40.5
Jasper2018,Jasper,2018,49,136.6
Jasper2014,Jasper,2014,45,127
Jasper2015,Jasper,2015,44,124.8
Jasper2016,Jasper,2016,40,112.9
Jasper2017,Jasper,2017,37,104.1
Jeff Davis2018,Jeff Davis,2018,0,0
Jeff Davis2017,Jeff Davis,2017,0,0
Jeff Davis2015,Jeff Davis,2015,0,0
Jeff Davis2016,Jeff Davis,2016,,
Jeff Davis2014,Jeff Davis,2014,,
Jefferson2018,Jefferson,2018,588,230.6
Jefferson2016,Jefferson,2016,565,220.4
Jefferson2017,Jefferson,2017,556,216.7
Jefferson2015,Jefferson,2015,543,212.7
Jefferson2014,Jefferson,2014,526,208
Jim Hogg2014,Jim Hogg,2014,0,0
Jim Hogg2018,Jim Hogg,2018,,
Jim Hogg2017,Jim Hogg,2017,,
Jim Hogg2016,Jim Hogg,2016,,
Jim Hogg2015,Jim Hogg,2015,,
Jim Wells2014,Jim Wells,2014,38,91.6
Jim Wells2015,Jim Wells,2015,27,65
Jim Wells2018,Jim Wells,2018,12,29.4
Jim Wells2017,Jim Wells,2017,7,17.1
Jim Wells2016,Jim Wells,2016,7,17
Johnson2018,Johnson,2018,173,101
Johnson2017,Johnson,2017,136,81.4
Johnson2015,Johnson,2015,130,81.6
Johnson2016,Johnson,2016,118,72.5
Johnson2014,Johnson,2014,93,59.3
Jones2017,Jones,2017,19,95.7
Jones2015,Jones,2015,19,95.1
Jones2014,Jones,2014,9,45.3
Jones2016,Jones,2016,7,35.1
Jones2018,Jones,2018,,
Karnes2014,Karnes,2014,19,127.4
Karnes2017,Karnes,2017,15,96.7
Karnes2018,Karnes,2018,10,63.9
Karnes2015,Karnes,2015,5,32.5
Karnes2016,Karnes,2016,,
